drugs,proximity
DB12010,5719.21636245007
DB06616,6213.844530773397
DB01593,6316.660136756083
DB04272,6324.698901747497
DB00945,6373.940095345422
DB02709,6411.336769393802
DB01169,6414.2491320362
DB01196,6519.08654120936
DB00675,6557.4207694046545
DB01254,6559.5939497504805
DB04216,6575.850718126672
DB00188,6605.0554639330185
DB03904,6616.0704943206465
DB00126,6630.73852136678
DB01064,6669.390601474537
DB00570,6685.741135644419
DB00852,6697.165430756133
DB05294,6764.228403176729
DB00070,6803.567841543693
DB13999,6854.892649576
DB00025,6854.892649576
DB00630,6858.497901666682
DB00139,6870.997295021486
DB00163,6935.117645280393
DB00121,7000.255367554459
DB01592,7056.1015125238655
DB00129,7105.8187954148425
DB01394,7137.739170216067
DB00720,7139.957662822276
DB03754,7167.146721929988
arsenic-trioxide,7185.7583532231365
DB00031,7190.699423191951
DB00361,7234.919725979628
DB00020,7250.980585656893
DB04865,7260.811388757636
DB04845,7297.593142200906
DB01179,7299.123144829013
DB00481,7320.544416291775
DB04951,7341.42385901315
DB00255,7351.822605230695
DB00277,7362.754600366136
DB13165,7394.228381963706
DB09559,7429.320077909228
DB00317,7429.320077909228
DB08896,7431.501733605843
DB01277,7434.763210627147
DB06176,7458.298969203817
DB01229,7459.7258898647615
DB01279,7464.017462764739
DB01271,7464.017462764739
DB05015,7479.8902894492585
DB06603,7479.8902894492585
DB00142,7487.790481639356
DB00541,7489.077754399129
DB06401,7502.629643930764
estropipate,7502.629643930764
DB04938,7502.629643930764
DB00947,7502.629643930764
DB01248,7514.797505020814
DB00491,7532.901886790213
DB00128,7545.890344670632
DB00161,7572.770470744068
DB00396,7582.573647691817
DB08889,7604.909877318524
DB00162,7620.099821727697
DB08908,7633.326198172028
DB00851,7635.47839349964
DB00131,7654.722130938808
DB00030,7658.641310376815
DB09221,7661.3254698917735
DB00746,7664.756846496872
DB06782,7664.756846496872
DB00755,7677.3445310634725
DB02546,7679.011640339865
DB06317,7705.634302458016
DB01017,7723.097478240619
DB06710,7725.121001057681
DB00643,7729.932240816828
DB00114,7732.023121887223
DB00783,7737.238677279276
DB00290,7742.650859843778
DB01136,7764.761560951518
DB00655,7767.206193024144
DB00977,7774.231417659076
DB00480,7777.160536246566
DB08901,7778.231837341884
DB00173,7784.318650143811
DB06774,7784.594875665073
DB00615,7789.696477723582
DB00091,7804.973723865036
DB13954,7808.771066024742
DB00530,7821.41157369816
DB00167,7826.279442604129
DB00515,7830.408570532247
DB01041,7858.408866136741
DB08818,7861.802912348976
DB09371,7864.0152918540625
DB00619,7864.961240117005
DB12863,7875.137243001116
DB01296,7893.942520893986
DB00288,7897.9408972669735
DB08911,7916.020993562196
DB00148,7920.580229232497
DB00338,7927.005370789917
hydrocortisone-phosphate,7930.603704119401
DB06803,7933.664025468888
DB08912,7937.3957401568605
DB00242,7950.544028263956
DB05239,7953.005723916518
DB00071,7953.173756978815
DB00957,7957.344780938194
DB09462,7958.716406633836
DB00174,7960.696206189436
DB00150,7967.807691181973
DB09079,7975.32068811722
DB00398,7986.71234075342
DB01133,8000.940633390644
DB05260,8007.0411817016375
thiostrepton,8011.598173512781
DB11619,8027.3022250474905
DB01185,8030.114825402633
testosterone-enanthate,8030.252949763776
DB01420,8030.252949763776
DB08804,8030.252949763776
DB00665,8030.252949763776
DB06718,8030.252949763776
DB08899,8030.252949763776
DB00984,8030.252949763776
testosterone-undecanoate,8030.252949763776
DB00858,8030.252949763776
DB00621,8030.252949763776
DB01128,8030.252949763776
DB00143,8030.770333808923
DB04575,8035.841306830091
DB09070,8035.841306830091
