drugs,proximity
DB12010,0.751854372199883
DB00852,0.8439092116990633
DB01593,0.8494488459441565
DB06202,0.8704635366384366
DB06616,0.872956064729925
DB01268,0.8748812026525016
DB02709,0.879739185082298
DB01254,0.8819032280398407
DB00755,0.8820470605608783
DB06803,0.8826386228986056
DB00957,0.8826566877060715
DB00603,0.8832678559540512
DB00304,0.8832678559540512
DB00823,0.8832678559540512
DB00459,0.8853842867574394
DB00255,0.8878910483169719
DB01393,0.8885902008394961
DB00675,0.888737341359599
DB08901,0.8907756893538463
DB11619,0.8917939013407444
DB08896,0.8918142533072245
DB00619,0.8936033662882047
DB00945,0.8936454516388385
DB00834,0.8936469932010138
DB00717,0.8950447634817003
DB00378,0.8950447634817003
chlormadinone-acetate,0.8950447634817003
DB00398,0.8951643447633428
DB01406,0.8954404953715032
DB09371,0.8955258591980384
DB08867,0.8961598232614448
DB00136,0.8980670953158998
DB01431,0.8982914211912888
DB01248,0.8993655159868105
DB05015,0.8995956171415723
DB06603,0.8995956171415723
megestrol-acetate,0.8996446257176332
DB00351,0.8996446257176332
DB00764,0.8996446257176332
DB00412,0.8998568854456991
DB09123,0.900221265857528
DB01229,0.9010258399226971
DB00162,0.9021253111565191
DB06589,0.9022304536648544
DB08604,0.9025037886856044
DB06401,0.9042261941603956
estropipate,0.9042261941603956
DB04938,0.9042261941603956
DB00947,0.9042261941603956
DB00396,0.9042350578015227
DB11581,0.9046825332906212
DB06756,0.9046825332906212
DB12243,0.9046825332906212
DB02546,0.904745611785394
DB00367,0.9047781168577461
thiram,0.9070523738495208
DB06713,0.9086602939533114
DB00977,0.9089834427975928
DB13954,0.9091118274494802
DB00307,0.9091898579846678
DB01169,0.9092451671118843
DB06176,0.909721641025274
DB01395,0.9103646876253755
DB00783,0.9105507933861263
DB09079,0.911587439809021
DB00648,0.9121774606513317
DB05294,0.9135682192774253
DB09389,0.9138415800842951
DB00131,0.9139507397454545
DB00142,0.9141064180240808
DB05521,0.9151246705667867
DB00588,0.9154917677964461
DB11363,0.9159688059824637
DB00481,0.9172738151116958
DB01620,0.9173107612422126
DB00737,0.9173107612422126
DB00523,0.9176920835993327
DB01196,0.9192319807932988
DB01708,0.9192785778103149
DB00655,0.9194290561316637
DB00277,0.9198251605420323
DB04868,0.9199368909952812
DB01026,0.920068929767426
DB00799,0.9203824475867364
DB00210,0.9209366493839868
DB00031,0.9225431992307079
DB09401,0.9226650871060947
DB08875,0.9227497295057088
DB00570,0.9229770109689162
DB00421,0.9235827100522617
DB01108,0.9243314910132412
DB00201,0.9247912164148872
DB08871,0.9254966189757361
DB00541,0.9255248773320615
DB01394,0.925669849346215
DB09078,0.9262756284162095
DB00114,0.9267616409038575
DB01185,0.9267954746181049
DB01109,0.9268896765561723
DB01179,0.9272908834239829
DB06710,0.9276044574467683
DB01039,0.9276100326143863
DB00361,0.9280143373823311
DB00836,0.9283867358334772
DB13873,0.9286046176724357
DB01367,0.9287049014446014
DB01296,0.9289124979003479
DB04272,0.9302812758539263
arsenic-trioxide,0.9304326815544453
DB01050,0.9304699388217943
DB00188,0.9308339195518981
DB00157,0.9313575229184986
DB01183,0.9317756628945443
DB00313,0.9318406644595892
DB01427,0.9318688729218324
DB05676,0.9318757652608176
DB00366,0.9323333415280515
DB11817,0.9324585718654782
DB00470,0.9327816873086531
DB08818,0.9330918572815111
DB04845,0.9336507781275959
DB00309,0.9337869000975568
DB00132,0.9339057169114281
DB00126,0.9343514721553889
DB00643,0.9344025200654821
DB00624,0.9356277773252204
DB13943,0.9356277773252204
DB00143,0.9358348441624734
DB04575,0.9359640414014215
DB09070,0.9359640414014215
DB00286,0.9359640414014215
DB01357,0.9359640414014215
DB08895,0.9364548520240099
DB08877,0.9364548520240099
DB01025,0.9366705036228564
DB05266,0.9378440790440321
DB09091,0.9393052679743201
DB01234,0.9396818190335836
DB09221,0.9402297490026044
DB00499,0.9402969894967518
DB00806,0.9403067713834494
DB09006,0.9405463119305504
hyaluronic-acid,0.940603689058557
DB09213,0.9407769308489826
DB01088,0.9410000368506531
DB01065,0.9416838881226601
DB01412,0.9419339225579992
DB01136,0.9423097737466383
DB01656,0.9425333125979148
DB00321,0.9428566336235933
DB00975,0.9433254513847772
DB01113,0.9434596473936643
DB00227,0.9435269427885168
DB00139,0.9436904028331474
DB04216,0.9439030602866803
DB01078,0.9440210809069132
DB01064,0.9442664875780978
DB00824,0.9442714242916925
DB08889,0.9446534848833006
DB01132,0.9446807759858427
DB00920,0.9451218927638956
DB09273,0.945125799339592
DB09283,0.9455917154515698
DB00746,0.9455985219534591
DB06782,0.9455985219534591
DB01110,0.9456232792359147
DB00530,0.9457251605177786
DB01436,0.9461149918439923
DB00163,0.9461386813019993
DB06151,0.9468039578716102
DB01592,0.9471323263868265
DB03017,0.9475104720852445
DB00898,0.947647088558208
DB00328,0.947719291339359
DB00030,0.9477268532402905
DB13999,0.9480570084614207
DB00025,0.9480570084614207
DB08912,0.9482128881215305
DB00514,0.948618498266453
DB00477,0.9490874042530588
DB00651,0.9495913916633145
DB00687,0.9496448221342665
fludrocortisone-acetate,0.9496448221342665
DB00159,0.9498748212023862
DB00334,0.9498871825478562
DB13345,0.9498885598885369
DB01049,0.9498885598885369
DB00121,0.9499710430047851
DB00363,0.950009721819204
DB00071,0.9503926992648065
DB01045,0.9506096590009038
DB00890,0.9507833993711737
DB00882,0.9507833993711737
DB00539,0.9507833993711737
DB01241,0.9509778886413022
DB00540,0.9513523782914295
DB08908,0.951386395680354
DB01017,0.9516359993093475
DB01041,0.9516397764778656
DB00841,0.951666821167804
DB02659,0.9518744206421121
DB00170,0.9518815002667267
DB00408,0.9519214792848749
DB00145,0.952428107257219
DB06216,0.9524403429697073
DB09089,0.9531063476627673
