Community	CRank	Conductance	Modularity	Random
407040	0.720221	0.608515	0.027874	0.000078
6135	1.000000	0.556884	0.048757	0.315378
10992	1.000000	0.611450	0.037687	0.556053
283373	0.160662	0.697382	0.010022	0.586501
29889	0.542628	0.646845	0.023750	0.327672
2011	0.160662	0.690963	0.020385	0.189592
9343	1.000000	0.763955	0.006874	0.470446
147687	0.160662	0.768049	0.012188	0.788647
3845	0.262849	0.806699	0.002893	0.792964
3312	0.720221	0.677028	0.020157	0.346929
7534	0.365036	0.688050	0.017377	0.835021
5691	0.542628	0.686090	0.016147	0.194164
64963	1.000000	0.760624	0.014314	0.309653
5295	0.365036	0.711772	0.020296	0.345721
5590	0.365036	0.694807	0.019490	0.534616
2554	0.160662	0.854730	0.003014	0.297002
4597	0.160662	0.781087	0.008108	0.711494
387	0.365036	0.753767	0.010843	0.076982
3329	0.365036	0.708569	0.020892	0.834157
2099	0.720221	0.697524	0.022132	0.668422
51343	0.365036	0.736162	0.013443	0.174860
10550	0.262849	0.846336	0.005757	0.867727
5108	0.262849	0.746896	0.015415	0.889766
4914	0.542628	0.701408	0.022260	0.304365
1906	0.365036	0.889713	-0.000165	0.461669
3309	0.160662	0.836388	0.006156	0.269288
86	0.822408	0.722173	0.018288	0.919649
6117	0.822408	0.739406	0.016501	0.539190
7322	0.262849	0.753764	0.014993	0.159994
4914	1.000000	0.786781	0.009791	0.011906
25776	1.000000	0.812801	0.008446	0.103208
2181	0.160662	0.839640	0.005218	0.621980
10618	0.262849	0.761933	0.014084	0.624530
145508	0.467223	0.773995	0.012762	0.474645
4627	0.822408	0.763368	0.012898	0.360819
8737	0.365036	0.781960	0.011515	0.282342
7124	0.467223	0.872797	0.002635	0.326386
10097	0.542628	0.751838	0.013938	0.564105
GO:0045944	0.262849	0.797022	0.009938	0.910374
7157	0.822408	0.748842	0.015435	0.653387
200728	1.000000	0.800026	0.009957	0.470389
8517	0.822408	0.772550	0.012052	0.825503
2805	0.365036	0.863565	0.004564	0.226604
7153	0.160662	0.843325	0.005506	0.533558
5705	0.644816	0.809747	0.008627	0.515186
2932	0.262849	0.844896	0.006006	0.726859
3065	0.644816	0.806668	0.008966	0.316347
8893	0.365036	0.869634	0.001806	0.847071
3690	0.365036	0.804221	0.009390	0.727100
1902	0.542628	0.922289	0.001423	0.364114
3320	0.822408	0.832279	0.006985	0.664948
10980	1.000000	0.838102	0.005924	0.777318
GO:0045944	0.160662	0.866579	0.004430	0.377744
5987	0.822408	0.859189	0.004849	0.749068
7203	0.365036	0.852240	0.005449	0.592650
1832	0.467223	0.835342	0.006747	0.665072
GO:0045944	0.262849	0.804751	0.009525	0.865174
11335	0.822408	0.792338	0.010776	0.976563
2335	0.262849	0.829632	0.006589	0.092081
2885	0.644816	0.825285	0.007378	0.605643
6331	0.262849	0.831547	0.006495	0.046531
7157	1.000000	0.802129	0.009786	0.045229
221	0.542628	0.835198	0.006592	0.162920
1398	0.365036	0.860285	0.004220	0.190329
GO:0006812	0.365036	0.854249	0.004120	0.866421
11337	0.365036	0.845809	0.005878	0.939767
C0011581	0.822408	0.904825	0.002243	0.661445
64946	0.365036	0.860808	0.004734	0.907329
1543	0.365036	0.839692	0.006187	0.477642
GO:0001819	0.262849	0.881535	0.003064	0.737491
2908	0.542628	0.876707	0.003795	0.007071
C0000786	0.365036	0.851072	0.005447	0.841421
C0036572	1.000000	0.964887	0.000168	0.770818
GO:0006810	0.542628	0.720057	0.004789	0.138174
112399	1.000000	0.834224	0.006575	0.297474
GO:0030335	0.440441	0.836265	0.005186	0.644458
10859	0.542628	0.771697	0.004939	0.409800
7046	0.542628	0.847528	0.005672	0.500840
GO:0006974	0.262849	0.841094	0.005842	0.615143
GO:0051240	0.542628	0.840397	0.002840	0.702045
6047	0.542628	0.899349	0.002450	0.278173
3708	0.542628	0.869119	0.002665	0.253654
84062	0.542628	0.811445	0.004046	0.158677
GO:0055114	0.720221	0.790133	0.002985	0.884553
5601	0.542628	0.846574	0.004062	0.682471
GO:0031323	0.720221	0.696947	0.003950	0.295434
652	0.262849	0.914835	0.001813	0.362245
5071	0.365036	0.859876	0.003581	0.254120
GO:1901700	0.542628	0.872882	0.002873	0.994579
5590	0.542628	0.899975	0.002427	0.885722
348	0.542628	0.839814	0.004737	0.331949
3178	0.822408	0.934916	0.001046	0.063218
11269	0.542628	0.898825	0.002505	0.510152
1813	0.720221	0.935536	0.000718	0.132737
C0005586	0.644816	0.899602	0.001984	0.911136
5501	0.822408	0.896938	0.002160	0.459816
351	0.720221	0.918408	0.001663	0.120808
351	0.822408	0.974561	-0.000168	0.415106
3191	0.720221	0.984795	-0.000122	0.693173
10482	0.720221	0.965444	0.000282	0.153946
