Community	CRank	Conductance	Modularity	Random
407040	0.720221	0.608841	0.026755	0.000078
9401	1.000000	0.560081	0.047443	0.315378
23648	0.262849	0.609064	0.009728	0.556053
6895	0.262849	0.635861	0.014187	0.586501
26227	0.160662	0.639137	0.009939	0.327672
10992	0.822408	0.617828	0.035971	0.189592
3320	0.720221	0.609310	0.026212	0.470446
10987	0.365036	0.650792	0.018313	0.788647
3329	0.822408	0.683667	0.016998	0.792964
7157	0.365036	0.640764	0.023432	0.346929
64963	1.000000	0.757363	0.014377	0.835021
55093	0.160662	0.758118	0.012950	0.194164
7203	0.262849	0.704416	0.017294	0.309653
821	0.262849	0.720179	0.017930	0.345721
5743	0.160662	0.741192	0.010202	0.534616
3123	0.262849	0.853508	-0.000153	0.297002
3065	0.720221	0.697229	0.021582	0.711494
4697	0.542628	0.713489	0.020522	0.076982
2885	0.365036	0.718531	0.019272	0.834157
128866	0.365036	0.733705	0.013423	0.668422
3569	0.262849	0.836551	0.003245	0.174860
4609	0.542628	0.704895	0.020669	0.867727
830	0.720221	0.731406	0.015022	0.889766
7322	0.262849	0.789320	0.009038	0.304365
10381	0.160662	0.873793	0.003303	0.461669
6598	0.822408	0.726545	0.017463	0.269288
4914	0.542628	0.710952	0.020646	0.919649
996	0.262849	0.742722	0.016124	0.539190
2100	1.000000	0.815209	0.006213	0.159994
6118	0.822408	0.745056	0.015793	0.011906
3309	0.160662	0.867406	0.003807	0.103208
4914	1.000000	0.806186	0.006084	0.621980
4914	0.720221	0.772394	0.009467	0.624530
5430	0.720221	0.740860	0.014571	0.474645
7316	0.644816	0.769659	0.012852	0.360819
7186	0.365036	0.769173	0.011596	0.282342
10618	0.262849	0.764148	0.013896	0.326386
GO:0006464	0.160662	0.872107	0.002979	0.564105
25776	1.000000	0.825988	0.006642	0.910374
7189	0.467223	0.786476	0.011026	0.653387
7514	0.822408	0.795395	0.008959	0.470389
4088	0.262849	0.818098	0.007691	0.825503
3065	0.365036	0.788100	0.010429	0.226604
3065	0.822408	0.800873	0.009912	0.533558
10488	0.644816	0.886010	0.003237	0.515186
4343	1.000000	0.797260	0.009228	0.726859
GO:0007186	0.542628	0.881377	0.003517	0.316347
2130	0.365036	0.802866	0.009697	0.847071
335	0.160662	0.843085	0.006152	0.727100
84708	0.262849	0.872294	0.003724	0.364114
6047	0.644816	0.892490	0.002504	0.664948
145508	0.542628	0.807796	0.009228	0.777318
2335	0.365036	0.828327	0.007166	0.377744
6352	0.262849	0.837532	0.006030	0.749068
3688	0.467223	0.810575	0.008940	0.592650
4171	0.644816	0.847526	0.005372	0.665072
81631	0.365036	0.842065	0.006050	0.865174
125115	0.822408	0.874261	0.003950	0.976563
7057	0.262849	0.847524	0.005811	0.092081
GO:0006974	0.262849	0.837242	0.006541	0.605643
2099	0.365036	0.853820	0.005307	0.046531
5515	0.467223	0.817971	0.008082	0.045229
5578	1.000000	0.799252	0.010068	0.162920
2554	0.542628	0.936720	0.000700	0.190329
221	0.467223	0.839049	0.006436	0.866421
2770	0.262849	0.858480	0.004985	0.939767
6331	0.365036	0.826036	0.005891	0.661445
5071	0.262849	0.859003	0.004418	0.907329
10380	0.365036	0.902238	0.002353	0.477642
1543	0.542628	0.849298	0.005463	0.737491
7157	0.822408	0.847107	0.005702	0.007071
596	0.262849	0.859763	0.004259	0.841421
567	0.365036	0.758734	0.005012	0.770818
GO:0031323	0.720221	0.706552	0.004017	0.138174
C0011581	0.822408	0.947107	0.000549	0.297474
1059	0.542628	0.874574	0.003916	0.644458
GO:0006810	0.542628	0.732016	0.004615	0.409800
GO:0051241	0.542628	0.800428	0.003902	0.500840
C0014544	0.822408	0.905160	0.002162	0.615143
3265	1.000000	0.875611	0.003833	0.702045
5594	0.644816	0.903287	0.002178	0.278173
4988	0.720221	0.860578	0.002889	0.253654
5167	0.365036	0.812508	0.002857	0.158677
652	0.365036	0.903128	0.002326	0.884553
GO:0045893	0.262849	0.863379	0.004341	0.682471
3191	1.000000	0.898739	0.002320	0.295434
3191	0.720221	0.938971	0.000907	0.362245
6470	0.720221	0.855550	0.002686	0.254120
1813	0.720221	0.878302	0.002625	0.994579
79001	0.720221	0.820920	0.003739	0.885722
25913	0.365036	0.853793	0.003504	0.331949
79155	0.542628	0.885078	0.003207	0.063218
GO:0030334	0.542628	0.825819	0.002711	0.510152
1131	0.644816	0.848396	0.002631	0.132737
GO:0000122	0.440441	0.836327	0.003539	0.911136
351	0.720221	0.888279	0.003077	0.459816
7532	0.720221	0.866885	0.004101	0.120808
C0033578	1.000000	0.950499	0.000330	0.415106
C0005586	0.644816	0.892536	0.002385	0.693173
63891	0.542628	0.901990	0.002172	0.153946
