nodelist,protein_product_glut,
8833,4.14E-06,GMPS
4609,1.07E-06,MYC
3191,1.05E-06,HNRNPL
351,4.98E-07,APP
3845,3.79E-07,KRAS
3417,3.42E-07,IDH1
1956,3.39E-07,EGFR
7706,2.90E-07,TRIM25
113,2.87E-07,ADCY7
4914,2.68E-07,NTRK1
3315,1.95E-07,HSPB1
4869,1.93E-07,NPM1
1994,1.76E-07,ELAVL1
2911,1.75E-07,GRM1
6446,1.72E-07,SGK1
5245,1.68E-07,PHB
960,1.66E-07,CD44
2100,1.61E-07,ESR2
1050,1.58E-07,CEBPA
6898,1.44E-07,TAT
7157,1.43E-07,
4291,1.43E-07,
596,1.39E-07,
2316,1.37E-07,
1021,1.34E-07,
84706,1.32E-07,
112399,1.30E-07,
51166,1.29E-07,
2805,1.24E-07,
302,1.20E-07,
7316,1.19E-07,
6774,1.13E-07,
2885,1.13E-07,
9401,1.06E-07,
1902,1.04E-07,
8452,9.64E-08,
2769,9.07E-08,
8301,8.99E-08,
6047,8.86E-08,
440,8.70E-08,
3265,8.56E-08,
9343,8.40E-08,
2729,8.40E-08,
309,7.35E-08,
2033,7.28E-08,
57120,7.27E-08,
4763,7.25E-08,
2902,7.24E-08,
2099,7.01E-08,
3091,6.97E-08,
6507,6.92E-08,
1612,6.87E-08,
51119,6.86E-08,
2058,6.86E-08,
6505,6.82E-08,
2623,6.76E-08,
3329,6.58E-08,
27165,6.51E-08,
672,6.44E-08,
1499,6.40E-08,
2130,6.28E-08,
1017,6.25E-08,
2898,6.13E-08,
4000,6.06E-08,
7415,5.99E-08,
928,5.81E-08,
861,5.71E-08,
2624,5.70E-08,
5578,5.58E-08,
2806,5.53E-08,
4343,5.50E-08,
7040,5.43E-08,
55011,5.24E-08,
1512,5.16E-08,
652,5.11E-08,
7514,5.08E-08,
7329,5.04E-08,
894,4.98E-08,
11315,4.93E-08,
1665,4.85E-08,
3312,4.64E-08,
3065,4.57E-08,
3815,4.51E-08,
3717,4.51E-08,
6640,4.42E-08,
2026,4.41E-08,
6714,4.38E-08,
6045,4.34E-08,
120892,4.31E-08,
4233,4.27E-08,
801,4.22E-08,
5198,4.16E-08,
5970,4.14E-08,
4171,4.09E-08,
5832,4.06E-08,
355,4.06E-08,
23411,3.95E-08,
207,3.89E-08,
5566,3.86E-08,
2746,3.82E-08,
481,3.76E-08,
63891,3.70E-08,
10482,3.70E-08,
2274,3.69E-08,
6386,3.68E-08,
10425,3.63E-08,
2356,3.58E-08,
1471,3.58E-08,
1736,3.54E-08,
30845,3.51E-08,
5170,3.51E-08,
1080,3.48E-08,
7182,3.48E-08,
2730,3.48E-08,
2904,3.47E-08,
3320,3.46E-08,
4193,3.45E-08,
3303,3.44E-08,
10551,3.43E-08,
59272,3.43E-08,
79155,3.41E-08,
1436,3.39E-08,
10919,3.33E-08,
4297,3.33E-08,
7490,3.30E-08,
7124,3.29E-08,
2914,3.26E-08,
5071,3.22E-08,
824,3.20E-08,
51343,3.19E-08,
6506,3.16E-08,
1978,3.16E-08,
4893,3.15E-08,
1742,3.06E-08,
6188,3.06E-08,
2308,3.03E-08,
6279,3.03E-08,
51547,3.02E-08,
6688,3.01E-08,
7280,2.98E-08,
2752,2.95E-08,
10273,2.94E-08,
1072,2.91E-08,
8454,2.86E-08,
2747,2.84E-08,
4188,2.82E-08,
4928,2.82E-08,
5580,2.82E-08,
7189,2.81E-08,
2742,2.70E-08,
2903,2.67E-08,
2901,2.60E-08,
2672,2.58E-08,
1495,2.57E-08,
2028,2.57E-08,
124454,2.55E-08,
1155,2.54E-08,
25980,2.54E-08,
409,2.53E-08,
9463,2.52E-08,
26270,2.50E-08,
7837,2.50E-08,
840,2.49E-08,
11168,2.47E-08,
2906,2.45E-08,
2917,2.39E-08,
10125,2.39E-08,
6772,2.38E-08,
3192,2.38E-08,
7014,2.37E-08,
79751,2.34E-08,
324,2.31E-08,
25,2.30E-08,
2335,2.29E-08,
5868,2.28E-08,
3082,2.28E-08,
5188,2.25E-08,
2969,2.25E-08,
6455,2.23E-08,
2744,2.23E-08,
6281,2.22E-08,
2895,2.16E-08,
11040,2.14E-08,
10801,2.14E-08,
23549,2.14E-08,
1660,2.13E-08,
3725,2.10E-08,
4734,2.10E-08,
348,2.05E-08,
2891,2.02E-08,
7249,2.01E-08,
125115,2.01E-08,
8021,2.01E-08,
1025,2.01E-08,
2899,2.00E-08,
5371,2.00E-08,
823,2.00E-08,
51510,1.98E-08,
2346,1.97E-08,
2932,1.95E-08,
8517,1.95E-08,
7534,1.94E-08,
2495,1.92E-08,
200728,1.91E-08,
54507,1.90E-08,
406991,1.89E-08,
4690,1.89E-08,
7186,1.89E-08,
5465,1.89E-08,
3178,1.88E-08,
6622,1.84E-08,
3326,1.83E-08,
183,1.83E-08,
3881,1.83E-08,
5997,1.83E-08,
2146,1.82E-08,
23028,1.81E-08,
64324,1.81E-08,
10013,1.80E-08,
148327,1.78E-08,
25793,1.77E-08,
65018,1.77E-08,
29968,1.76E-08,
51741,1.76E-08,
988,1.75E-08,
6472,1.75E-08,
7175,1.73E-08,
4088,1.72E-08,
203068,1.72E-08,
857,1.71E-08,
2571,1.70E-08,
472,1.70E-08,
1437,1.70E-08,
586,1.68E-08,
7422,1.64E-08,
5588,1.64E-08,
6422,1.62E-08,
7428,1.61E-08,
2534,1.60E-08,
6840,1.59E-08,
3479,1.59E-08,
5155,1.59E-08,
5590,1.59E-08,
2159,1.56E-08,
23657,1.54E-08,
7476,1.54E-08,
2710,1.53E-08,
116443,1.52E-08,
408,1.52E-08,
5830,1.51E-08,
5581,1.50E-08,
6919,1.50E-08,
4137,1.50E-08,
6872,1.49E-08,
2890,1.49E-08,
3309,1.49E-08,
7846,1.48E-08,
23636,1.47E-08,
2597,1.46E-08,
2668,1.44E-08,
27161,1.42E-08,
3398,1.40E-08,
7531,1.40E-08,
4005,1.38E-08,
22938,1.36E-08,
2918,1.35E-08,
11338,1.35E-08,
5728,1.33E-08,
23064,1.33E-08,
5936,1.31E-08,
4629,1.31E-08,
5579,1.30E-08,
664,1.30E-08,
11200,1.29E-08,
6925,1.29E-08,
864,1.28E-08,
7057,1.26E-08,
3837,1.25E-08,
154,1.25E-08,
1522,1.25E-08,
142,1.24E-08,
92140,1.24E-08,
10614,1.24E-08,
3458,1.24E-08,
6352,1.24E-08,
23365,1.23E-08,
10987,1.22E-08,
6667,1.22E-08,
5595,1.22E-08,
5538,1.20E-08,
7204,1.20E-08,
7430,1.19E-08,
23390,1.19E-08,
2064,1.19E-08,
4771,1.18E-08,
10155,1.16E-08,
29079,1.16E-08,
2677,1.16E-08,
307,1.16E-08,
8202,1.16E-08,
367,1.16E-08,
5264,1.15E-08,
5976,1.14E-08,
4067,1.14E-08,
1655,1.13E-08,
865,1.12E-08,
5335,1.12E-08,
581,1.12E-08,
5142,1.10E-08,
1191,1.09E-08,
1654,1.09E-08,
6310,1.08E-08,
5594,1.07E-08,
1387,1.07E-08,
10284,1.07E-08,
55006,1.05E-08,
4026,1.05E-08,
6733,1.05E-08,
983,1.04E-08,
11326,1.04E-08,
2908,1.04E-08,
998,1.04E-08,
4089,1.04E-08,
9531,1.04E-08,
55252,1.04E-08,
2776,1.04E-08,
7532,1.04E-08,
2621,1.02E-08,
2475,1.02E-08,
7874,1.01E-08,
3418,1.01E-08,
150,1.01E-08,
6678,1.01E-08,
587,1.01E-08,
60,1.01E-08,
1398,1.00E-08,
5468,1.00E-08,
29978,1.00E-08,
2120,9.99E-09,
5567,9.94E-09,
2892,9.94E-09,
4967,9.93E-09,
6999,9.93E-09,
165918,9.90E-09,
4599,9.89E-09,
5347,9.88E-09,
54386,9.84E-09,
1540,9.81E-09,
808,9.81E-09,
5584,9.80E-09,
5747,9.79E-09,
9820,9.78E-09,
10399,9.76E-09,
57154,9.73E-09,
650,9.68E-09,
3676,9.64E-09,
7337,9.63E-09,
862,9.61E-09,
2078,9.60E-09,
8766,9.57E-09,
1459,9.56E-09,
4790,9.56E-09,
8942,9.54E-09,
308,9.40E-09,
10488,9.30E-09,
18,9.28E-09,
3297,9.28E-09,
5781,9.26E-09,
5582,9.26E-09,
4087,9.24E-09,
124912,9.23E-09,
25913,9.19E-09,
9662,9.17E-09,
387,9.17E-09,
5499,9.16E-09,
3728,9.14E-09,
821,9.12E-09,
51341,9.12E-09,
7042,8.99E-09,
9830,8.95E-09,
10499,8.86E-09,
2023,8.84E-09,
23327,8.80E-09,
6647,8.79E-09,
28960,8.78E-09,
8091,8.74E-09,
55191,8.71E-09,
9611,8.69E-09,
5469,8.61E-09,
9826,8.59E-09,
5987,8.57E-09,
10459,8.57E-09,
8554,8.52E-09,
54998,8.51E-09,
7277,8.50E-09,
5515,8.50E-09,
3958,8.49E-09,
5597,8.49E-09,
1981,8.45E-09,
1738,8.42E-09,
6125,8.40E-09,
56257,8.32E-09,
26123,8.27E-09,
6426,8.24E-09,
27185,8.20E-09,
25865,8.18E-09,
1739,8.11E-09,
9641,8.05E-09,
10456,8.04E-09,
55294,8.04E-09,
87,7.99E-09,
26986,7.95E-09,
1649,7.95E-09,
7474,7.94E-09,
4311,7.92E-09,
6117,7.91E-09,
3146,7.89E-09,
30851,7.85E-09,
7334,7.81E-09,
5167,7.80E-09,
3630,7.79E-09,
5583,7.77E-09,
10413,7.73E-09,
5295,7.72E-09,
382,7.69E-09,
2572,7.66E-09,
2547,7.65E-09,
22976,7.62E-09,
84708,7.62E-09,
9097,7.56E-09,
4218,7.51E-09,
3190,7.51E-09,
2150,7.50E-09,
2801,7.49E-09,
301,7.46E-09,
23291,7.42E-09,
6722,7.42E-09,
10419,7.41E-09,
10492,7.40E-09,
8678,7.40E-09,
3553,7.37E-09,
5195,7.37E-09,
1393,7.34E-09,
93649,7.32E-09,
5501,7.32E-09,
2934,7.29E-09,
7013,7.29E-09,
5898,7.26E-09,
9314,7.23E-09,
6657,7.21E-09,
9759,7.19E-09,
2521,7.19E-09,
4627,7.19E-09,
805,7.16E-09,
10437,7.15E-09,
3965,7.10E-09,
5568,7.10E-09,
8428,7.05E-09,
1385,7.05E-09,
4142,7.02E-09,
29979,6.98E-09,
90678,6.98E-09,
1915,6.92E-09,
8655,6.92E-09,
3916,6.91E-09,
8826,6.89E-09,
7919,6.87E-09,
4988,6.82E-09,
122970,6.78E-09,
7917,6.77E-09,
4035,6.77E-09,
5879,6.75E-09,
3198,6.72E-09,
5300,6.67E-09,
3106,6.64E-09,
51574,6.63E-09,
682,6.61E-09,
2147,6.58E-09,
6262,6.56E-09,
26003,6.56E-09,
9612,6.56E-09,
1213,6.55E-09,
85302,6.54E-09,
51176,6.53E-09,
10014,6.52E-09,
55740,6.49E-09,
1019,6.48E-09,
3064,6.47E-09,
51738,6.45E-09,
3028,6.45E-09,
5777,6.43E-09,
