nodelist,protein_product_fost,
3717,1.17E-06,JAK2
3815,1.15E-06,KIT
1612,1.13E-06,DAPK1
4233,1.04E-06,MET/KEGG
1436,1.01E-06,CSF1R
2322,9.01E-07,FLT3
351,8.07E-07,APP
4609,7.26E-07,MYC
3191,6.55E-07,HNRNPL
4914,4.57E-07,NTRK1
6774,4.24E-07,STAT3
1956,4.02E-07,EGFR
3845,3.64E-07,KRAS
7706,3.56E-07,TRIM25
3320,3.56E-07,HSP90AA1
4869,3.43E-07,NPM1
3315,2.75E-07,HSPB1
120892,2.67E-07,LRRK2
6714,2.59E-07,SRC
7157,2.49E-07,TP53
11200,2.25E-07,
1994,2.25E-07,
302,1.83E-07,
2932,1.83E-07,
2100,1.77E-07,
596,1.76E-07,
2885,1.69E-07,
1021,1.69E-07,
2033,1.54E-07,
25,1.48E-07,
2099,1.48E-07,
2064,1.40E-07,
7514,1.40E-07,
8301,1.27E-07,
5580,1.22E-07,
960,1.22E-07,
207,1.22E-07,
5747,1.15E-07,
7316,1.14E-07,
672,1.14E-07,
2623,1.14E-07,
355,1.09E-07,
652,1.07E-07,
4067,1.04E-07,
5566,1.02E-07,
2475,9.79E-08,
1432,9.65E-08,
1459,9.58E-08,
7040,9.55E-08,
4763,9.44E-08,
5347,9.43E-08,
4214,9.20E-08,
5603,8.94E-08,
2624,8.79E-08,
5170,8.60E-08,
11326,8.46E-08,
983,8.26E-08,
7046,8.25E-08,
2534,8.22E-08,
3265,8.18E-08,
8737,8.15E-08,
861,8.11E-08,
2130,8.04E-08,
5588,8.04E-08,
5970,7.87E-08,
3932,7.71E-08,
7490,7.32E-08,
81848,7.32E-08,
894,7.27E-08,
1471,7.21E-08,
1499,7.17E-08,
3791,7.12E-08,
11315,7.09E-08,
6790,7.03E-08,
23411,6.97E-08,
5587,6.71E-08,
659,6.68E-08,
2081,6.68E-08,
7249,6.54E-08,
11040,6.49E-08,
6446,6.48E-08,
7422,6.44E-08,
1978,6.36E-08,
10125,6.22E-08,
7415,6.21E-08,
23390,6.07E-08,
1736,6.06E-08,
51343,5.99E-08,
1050,5.97E-08,
3303,5.96E-08,
3082,5.96E-08,
1512,5.95E-08,
1017,5.93E-08,
2308,5.91E-08,
4000,5.78E-08,
112399,5.78E-08,
1457,5.76E-08,
2274,5.74E-08,
1019,5.74E-08,
3326,5.72E-08,
5894,5.65E-08,
864,5.63E-08,
6047,5.62E-08,
2185,5.56E-08,
64324,5.55E-08,
3551,5.49E-08,
8517,5.49E-08,
3312,5.49E-08,
1514,5.47E-08,
90,5.47E-08,
7124,5.43E-08,
5058,5.38E-08,
5567,5.33E-08,
1263,5.33E-08,
3643,5.29E-08,
1969,5.28E-08,
857,5.15E-08,
4193,5.12E-08,
10769,5.11E-08,
9641,5.03E-08,
1902,4.93E-08,
1665,4.90E-08,
5595,4.88E-08,
5156,4.79E-08,
2931,4.75E-08,
1520,4.74E-08,
8452,4.73E-08,
5159,4.66E-08,
5584,4.66E-08,
7534,4.58E-08,
4928,4.57E-08,
4297,4.54E-08,
51119,4.53E-08,
6688,4.50E-08,
409,4.48E-08,
10919,4.44E-08,
7010,4.44E-08,
23043,4.43E-08,
3654,4.39E-08,
4343,4.38E-08,
6279,4.35E-08,
7048,4.32E-08,
79155,4.27E-08,
9343,4.26E-08,
57154,4.25E-08,
7189,4.25E-08,
5598,4.25E-08,
9475,4.22E-08,
10482,4.20E-08,
1437,4.17E-08,
8454,4.16E-08,
9212,4.14E-08,
7182,4.13E-08,
4734,4.12E-08,
5594,4.12E-08,
3055,4.07E-08,
4215,4.06E-08,
867,4.05E-08,
7280,4.03E-08,
2969,4.01E-08,
2260,3.97E-08,
5582,3.97E-08,
1452,3.95E-08,
6281,3.87E-08,
6195,3.87E-08,
481,3.83E-08,
8396,3.83E-08,
9113,3.82E-08,
440275,3.74E-08,
5581,3.71E-08,
5295,3.68E-08,
4751,3.67E-08,
65018,3.66E-08,
4690,3.65E-08,
23332,3.61E-08,
5071,3.60E-08,
7016,3.59E-08,
2066,3.55E-08,
5599,3.54E-08,
5610,3.51E-08,
1495,3.48E-08,
2672,3.47E-08,
11168,3.46E-08,
5155,3.44E-08,
472,3.41E-08,
83732,3.41E-08,
3725,3.41E-08,
1080,3.40E-08,
840,3.40E-08,
3398,3.39E-08,
30845,3.35E-08,
4088,3.35E-08,
5292,3.34E-08,
408,3.32E-08,
2043,3.32E-08,
928,3.31E-08,
8428,3.30E-08,
6772,3.28E-08,
7837,3.28E-08,
2324,3.28E-08,
55781,3.27E-08,
7186,3.26E-08,
63891,3.26E-08,
5781,3.26E-08,
54101,3.24E-08,
5997,3.20E-08,
4188,3.18E-08,
10987,3.16E-08,
5465,3.15E-08,
406991,3.14E-08,
1111,3.14E-08,
5728,3.14E-08,
7525,3.12E-08,
125115,3.11E-08,
824,3.06E-08,
2580,3.04E-08,
348,3.03E-08,
1445,3.01E-08,
5585,3.00E-08,
7329,2.99E-08,
5601,2.98E-08,
5062,2.97E-08,
22938,2.96E-08,
6622,2.95E-08,
4087,2.94E-08,
9401,2.93E-08,
2335,2.92E-08,
6872,2.90E-08,
25793,2.90E-08,
7529,2.90E-08,
1195,2.88E-08,
23604,2.87E-08,
6840,2.85E-08,
8536,2.84E-08,
2041,2.83E-08,
7430,2.83E-08,
10013,2.83E-08,
11140,2.82E-08,
6422,2.82E-08,
7531,2.82E-08,
5562,2.81E-08,
2872,2.80E-08,
91,2.78E-08,
6850,2.77E-08,
4171,2.77E-08,
2242,2.76E-08,
51510,2.76E-08,
65061,2.74E-08,
817,2.74E-08,
801,2.74E-08,
9149,2.73E-08,
2146,2.66E-08,
2621,2.65E-08,
695,2.63E-08,
3178,2.61E-08,
8021,2.58E-08,
4893,2.56E-08,
5578,2.56E-08,
3065,2.55E-08,
2011,2.55E-08,
4089,2.55E-08,
5335,2.54E-08,
55011,2.54E-08,
51765,2.50E-08,
7006,2.50E-08,
1613,2.49E-08,
7532,2.47E-08,
3192,2.47E-08,
6045,2.45E-08,
3718,2.44E-08,
23636,2.44E-08,
28996,2.44E-08,
4629,2.44E-08,
1660,2.40E-08,
6455,2.39E-08,
27347,2.39E-08,
2321,2.38E-08,
5245,2.38E-08,
25865,2.37E-08,
51547,2.36E-08,
5606,2.35E-08,
5879,2.34E-08,
203068,2.34E-08,
8550,2.32E-08,
815,2.29E-08,
23064,2.29E-08,
1387,2.28E-08,
2241,2.28E-08,
8573,2.28E-08,
5564,2.27E-08,
2316,2.26E-08,
1025,2.26E-08,
988,2.26E-08,
29110,2.25E-08,
7175,2.24E-08,
4916,2.21E-08,
2261,2.20E-08,
673,2.18E-08,
309,2.16E-08,
4140,2.16E-08,
10971,2.14E-08,
3479,2.13E-08,
2268,2.13E-08,
10551,2.12E-08,
3091,2.10E-08,
142,2.09E-08,
5586,2.08E-08,
2263,2.08E-08,
5777,2.06E-08,
79858,2.06E-08,
4005,2.05E-08,
650,2.04E-08,
1398,2.04E-08,
1385,2.04E-08,
388677,2.03E-08,
23365,2.03E-08,
10801,2.02E-08,
10273,2.02E-08,
6188,2.02E-08,
3837,1.99E-08,
3716,1.98E-08,
5142,1.97E-08,
10733,1.96E-08,
11329,1.95E-08,
1859,1.94E-08,
367,1.94E-08,
8767,1.93E-08,
113,1.92E-08,
8833,1.91E-08,
1522,1.91E-08,
4137,1.91E-08,
23400,1.90E-08,
5684,1.87E-08,
3309,1.86E-08,
3329,1.86E-08,
3417,1.85E-08,
4750,1.84E-08,
7874,1.83E-08,
6733,1.82E-08,
4291,1.82E-08,
658,1.82E-08,
5565,1.82E-08,
2023,1.82E-08,
55294,1.81E-08,
1191,1.81E-08,
7057,1.81E-08,
6667,1.80E-08,
1654,1.80E-08,
10614,1.77E-08,
862,1.77E-08,
5127,1.76E-08,
6678,1.75E-08,
387,1.74E-08,
2934,1.74E-08,
51422,1.73E-08,
6223,1.73E-08,
23028,1.71E-08,
2047,1.70E-08,
6794,1.70E-08,
6464,1.69E-08,
7535,1.69E-08,
7428,1.68E-08,
5979,1.68E-08,
9314,1.67E-08,
238,1.66E-08,
7042,1.65E-08,
5501,1.65E-08,
1655,1.65E-08,
8654,1.65E-08,
57396,1.64E-08,
25913,1.64E-08,
780,1.63E-08,
2120,1.63E-08,
5294,1.61E-08,
5468,1.61E-08,
23327,1.60E-08,
8780,1.59E-08,
865,1.58E-08,
4296,1.58E-08,
6919,1.57E-08,
8408,1.55E-08,
5987,1.55E-08,
6197,1.54E-08,
9531,1.54E-08,
11184,1.53E-08,
2026,1.53E-08,
5605,1.50E-08,
7917,1.50E-08,
307,1.49E-08,
5590,1.49E-08,
7494,1.47E-08,
85366,1.47E-08,
3916,1.46E-08,
998,1.46E-08,
4216,1.46E-08,
1540,1.46E-08,
3458,1.46E-08,
386682,1.45E-08,
10399,1.44E-08,
51574,1.44E-08,
85302,1.43E-08,
27161,1.42E-08,
581,1.42E-08,
5469,1.42E-08,
7014,1.41E-08,
3190,1.41E-08,
6310,1.41E-08,
3146,1.40E-08,
10645,1.40E-08,
8091,1.39E-08,
2042,1.39E-08,
11338,1.38E-08,
6426,1.38E-08,
51341,1.38E-08,
9759,1.37E-08,
1020,1.36E-08,
4599,1.36E-08,
27,1.35E-08,
6352,1.34E-08,
3297,1.34E-08,
6722,1.34E-08,
9833,1.34E-08,
1639,1.34E-08,
23363,1.34E-08,
324,1.33E-08,
60,1.33E-08,
4026,1.33E-08,
2150,1.32E-08,
3553,1.32E-08,
4752,1.31E-08,
10188,1.31E-08,
57118,1.31E-08,
29978,1.30E-08,
9611,1.30E-08,
10114,1.30E-08,
8202,1.29E-08,
165918,1.27E-08,
11011,1.27E-08,
2078,1.27E-08,
10253,1.27E-08,
7533,1.26E-08,
55740,1.26E-08,
818,1.26E-08,
3630,1.25E-08,
70,1.25E-08,
6014,1.25E-08,
5293,1.25E-08,
6787,1.25E-08,
308,1.24E-08,
4294,1.24E-08,
3965,1.24E-08,
51176,1.24E-08,
5371,1.23E-08,
9891,1.23E-08,
558,1.22E-08,
3308,1.22E-08,
7294,1.22E-08,
4790,1.21E-08,
301,1.21E-08,
2801,1.20E-08,
9344,1.20E-08,
7013,1.20E-08,
808,1.20E-08,
1026,1.20E-08,
4058,1.19E-08,
4627,1.18E-08,
822,1.18E-08,
2810,1.18E-08,
6925,1.17E-08,
11213,1.16E-08,
5591,1.15E-08,
5602,1.15E-08,
2547,1.15E-08,
5300,1.14E-08,
26270,1.14E-08,
28960,1.14E-08,
10146,1.13E-08,
9448,1.13E-08,
4223,1.12E-08,
55252,1.12E-08,
153090,1.12E-08,
10856,1.11E-08,
57521,1.11E-08,
135295,1.11E-08,
93649,1.10E-08,
5563,1.10E-08,
6788,1.10E-08,
7334,1.09E-08,
836,1.09E-08,
6117,1.09E-08,
4486,1.08E-08,
8899,1.08E-08,
7474,1.08E-08,
9820,1.08E-08,
5607,1.07E-08,
3480,1.07E-08,
10413,1.06E-08,
5925,1.06E-08,
10488,1.06E-08,
1649,1.06E-08,
1196,1.05E-08,
10419,1.04E-08,
6657,1.04E-08,
4792,1.04E-08,
150,1.04E-08,
1981,1.04E-08,
10437,1.04E-08,
1213,1.03E-08,
10576,1.03E-08,
5515,1.03E-08,
5788,1.03E-08,
4066,1.02E-08,
6154,1.01E-08,
7205,1.01E-08,
5770,1.01E-08,
7538,1.01E-08,
150094,1.01E-08,
10618,1.01E-08,
3516,1.01E-08,
4638,1.01E-08,
23291,1.00E-08,
9612,1.00E-08,
8576,9.99E-09,
708,9.98E-09,
51135,9.95E-09,
6037,9.93E-09,
3728,9.91E-09,
10298,9.91E-09,
51347,9.91E-09,
7431,9.90E-09,
2045,9.88E-09,
640,9.86E-09,
4921,9.82E-09,
7204,9.82E-09,
