nodelist,protein_product_laso,
1269,9.59E-05,CNR2
2099,4.23E-05,ESR1
2100,2.97E-05,ESR2
2769,1.40E-05,GNA15
351,5.54E-07,APP
4609,4.89E-07,MYC
5997,4.65E-07,RGS2
1902,3.64E-07,LPAR1
6774,3.56E-07,STAT3
4869,2.73E-07,NPM1
7157,2.66E-07,TP53
7706,2.13E-07,TRIM25
3191,2.05E-07,HNRNPL
2033,1.72E-07,EP300
302,1.42E-07,ANXA2
2623,1.37E-07,GATA1
3845,1.30E-07,KRAS
1050,1.28E-07,CEBPA
3315,1.25E-07,HSPB1
7040,1.23E-07,TGFB1
11315,1.20E-07,
1994,1.18E-07,
1956,1.17E-07,
3312,1.13E-07,
3815,1.03E-07,
672,1.03E-07,
1021,9.87E-08,
10919,9.42E-08,
1499,8.78E-08,
4297,8.37E-08,
9611,8.37E-08,
64324,8.34E-08,
2624,8.13E-08,
8202,8.10E-08,
2274,7.99E-08,
4088,7.96E-08,
4914,7.77E-08,
6688,7.73E-08,
9612,7.26E-08,
8301,7.17E-08,
11168,7.14E-08,
6872,7.14E-08,
2308,7.10E-08,
51547,6.89E-08,
5970,6.82E-08,
1736,6.76E-08,
1665,6.73E-08,
7490,6.59E-08,
5578,6.29E-08,
596,6.28E-08,
23411,6.06E-08,
861,6.05E-08,
5580,5.92E-08,
2130,5.78E-08,
652,5.78E-08,
7514,5.76E-08,
4233,5.75E-08,
5465,5.74E-08,
7316,5.57E-08,
207,5.51E-08,
4000,5.34E-08,
6840,5.30E-08,
2885,5.23E-08,
23064,5.22E-08,
960,4.80E-08,
6279,4.71E-08,
3717,4.55E-08,
7124,4.36E-08,
6047,4.31E-08,
3303,4.28E-08,
7249,4.25E-08,
5588,4.04E-08,
4928,3.99E-08,
154,3.91E-08,
8452,3.86E-08,
3398,3.80E-08,
5590,3.80E-08,
7422,3.71E-08,
7415,3.71E-08,
2672,3.68E-08,
3065,3.68E-08,
1612,3.64E-08,
25,3.60E-08,
857,3.50E-08,
7189,3.48E-08,
8454,3.39E-08,
6714,3.33E-08,
2120,3.32E-08,
3146,3.25E-08,
4763,3.23E-08,
355,3.22E-08,
409,3.18E-08,
3320,3.14E-08,
9343,3.11E-08,
7837,3.09E-08,
1471,3.05E-08,
864,3.04E-08,
1649,3.03E-08,
8021,3.01E-08,
3725,3.00E-08,
1017,3.00E-08,
3265,2.99E-08,
5469,2.96E-08,
6045,2.95E-08,
2146,2.95E-08,
2969,2.93E-08,
5579,2.93E-08,
120892,2.91E-08,
23028,2.89E-08,
7182,2.87E-08,
7329,2.86E-08,
4734,2.79E-08,
5245,2.78E-08,
367,2.74E-08,
4193,2.73E-08,
185,2.72E-08,
7280,2.70E-08,
55011,2.70E-08,
51341,2.67E-08,
5457,2.67E-08,
1512,2.65E-08,
4066,2.65E-08,
3192,2.62E-08,
6422,2.55E-08,
1387,2.54E-08,
4343,2.51E-08,
112399,2.51E-08,
25865,2.51E-08,
6591,2.47E-08,
6722,2.45E-08,
10482,2.45E-08,
1660,2.44E-08,
10513,2.44E-08,
80149,2.43E-08,
5071,2.41E-08,
5584,2.39E-08,
928,2.38E-08,
2932,2.35E-08,
4599,2.34E-08,
93649,2.31E-08,
6455,2.29E-08,
51343,2.29E-08,
165918,2.28E-08,
5468,2.28E-08,
51119,2.26E-08,
2150,2.24E-08,
481,2.24E-08,
3091,2.22E-08,
894,2.20E-08,
408,2.20E-08,
307,2.18E-08,
4005,2.17E-08,
5155,2.15E-08,
1655,2.12E-08,
58508,2.10E-08,
10987,2.09E-08,
9759,2.08E-08,
6772,2.08E-08,
1906,2.07E-08,
10856,2.07E-08,
1080,2.05E-08,
1436,2.05E-08,
5728,2.04E-08,
9401,2.02E-08,
6667,1.99E-08,
5582,1.97E-08,
8517,1.97E-08,
5347,1.96E-08,
1437,1.96E-08,
3082,1.94E-08,
5583,1.93E-08,
6262,1.93E-08,
23462,1.91E-08,
8896,1.91E-08,
22938,1.90E-08,
348,1.88E-08,
6597,1.87E-08,
6281,1.87E-08,
79155,1.86E-08,
51510,1.85E-08,
796,1.85E-08,
10524,1.83E-08,
3178,1.79E-08,
5581,1.79E-08,
1978,1.79E-08,
4026,1.79E-08,
2316,1.76E-08,
10125,1.75E-08,
1487,1.74E-08,
406991,1.73E-08,
23365,1.71E-08,
7186,1.69E-08,
6598,1.68E-08,
7067,1.67E-08,
3169,1.66E-08,
5987,1.65E-08,
11200,1.65E-08,
