nodelist,protein_product_zinc,
6279,2.66E-06,S100A8
351,1.90E-06,APP
2099,1.13E-06,ESR1
7157,9.99E-07,TP53
4609,7.09E-07,MYC
2335,5.29E-07,FN1
3065,4.12E-07,HDAC1
4193,3.89E-07,MDM2
348,3.51E-07,APOE
2934,2.99E-07,GSN
6455,2.97E-07,SH3GL1
1191,2.87E-07,CLU
1956,2.79E-07,EGFR
142,2.57E-07,PARP1
4869,2.54E-07,NPM1
335,2.48E-07,APOA1
3191,2.44E-07,HNRNPL
3728,2.39E-07,JUP
9759,2.35E-07,HDAC4
3845,2.27E-07,KRAS
302,2.26E-07,
2100,2.13E-07,
7706,2.12E-07,
2885,2.11E-07,
2033,2.11E-07,
6280,2.04E-07,
3630,2.02E-07,
1915,1.84E-07,
2023,1.77E-07,
6647,1.74E-07,
4504,1.69E-07,
3315,1.68E-07,
4297,1.62E-07,
6774,1.61E-07,
1021,1.42E-07,
10016,1.41E-07,
1994,1.38E-07,
596,1.36E-07,
2923,1.30E-07,
718,1.23E-07,
2147,1.22E-07,
861,1.21E-07,
183,1.13E-07,
1512,1.09E-07,
4914,1.09E-07,
672,1.09E-07,
2,1.08E-07,
7040,1.07E-07,
7284,1.01E-07,
1080,9.86E-08,
7316,9.76E-08,
960,9.65E-08,
2130,9.60E-08,
1471,9.52E-08,
7448,9.48E-08,
7161,9.37E-08,
3082,9.25E-08,
1050,9.21E-08,
722,8.82E-08,
409,8.66E-08,
336,8.52E-08,
355,8.39E-08,
2623,8.29E-08,
8301,8.27E-08,
7124,8.00E-08,
3717,7.98E-08,
4000,7.96E-08,
2243,7.90E-08,
652,7.61E-08,
5970,7.59E-08,
85302,7.43E-08,
4318,7.36E-08,
325,7.29E-08,
337,7.06E-08,
7837,7.05E-08,
7415,7.04E-08,
5747,7.02E-08,
2969,6.88E-08,
11315,6.87E-08,
2624,6.54E-08,
8452,6.41E-08,
1665,6.36E-08,
4629,6.29E-08,
8454,6.27E-08,
207,6.21E-08,
7514,6.13E-08,
4233,6.07E-08,
23411,6.04E-08,
51343,6.02E-08,
7182,6.01E-08,
7490,6.01E-08,
5034,5.98E-08,
3043,5.96E-08,
1017,5.83E-08,
3827,5.83E-08,
6047,5.73E-08,
408,5.65E-08,
