nodes,lasoinAML_diff,nodes,lasoinAML_diff
2099,0.000637244,GO:0045944,0.004865526
2100,0.000451611,GO:0045893,0.002784593
1269,0.001466492,GO:0045892,0.002749575
2769,0.000528533,GO:0000122,0.00249337
GO:0007204,0.000407691,4609,0.001920261
GO:0000122,0.00249337,864,0.00185104
GO:0045893,0.002784593,6774,0.001793948
GO:0051091,0.000452965,3417,0.001751258
GO:0045944,0.004865526,302,0.001747837
GO:0006366,0.00086709,2623,0.001735005
GO:0051480,0.000108228,4869,0.001703043
GO:0071392,0.00010415,6688,0.001684516
GO:0010524,6.34E-05,11168,0.00167674
GO:0010629,0.000411594,2624,0.001676614
GO:0060402,5.29E-05,3845,0.001665679
GO:0043433,0.000527413,64324,0.001650854
GO:0051482,0.000268586,2672,0.001636429
GO:0045899,9.72E-05,3315,0.001636299
GO:0045892,0.002749575,10919,0.001635515
GO:1903799,0.000115167,861,0.001623229
