nodes,fostamatinib
GO:0006468,0.01063703092852587
GO:0046777,0.004946766764778503
GO:0035556,0.0026543786508000746
GO:0045944,0.0022563167715735997
GO:0018108,0.0017418762176098445
GO:0045893,0.001709233676793757
GO:0016310,0.001574909190597616
3320,0.0014906266557559425
GO:0043066,0.0014416113377316389
GO:0018105,0.001426623718521862
GO:0006464,0.0013311096218078659
GO:0000122,0.0013143412211001127
1956,0.0011874446994744278
GO:0043484,0.0011514727551455738
4750,0.0011172821812084105
GO:0045892,0.001093254749521711
GO:0010628,0.0010831840177344175
120892,0.0010766706187215484
4914,0.0010730908909286452
351,0.0010264857349305862
GO:0007165,0.00099001797305413
GO:0001934,0.0009873881768113102
2064,0.0009869644470029294
25,0.000978829481284514
6714,0.0009659422374912593
7046,0.0009442827711301482
GO:0008284,0.0009439312188103347
GO:0018107,0.0009330485265129834
2081,0.0009278354097522979
GO:0051092,0.0009088531163614413
GO:0038083,0.0008906362984544618
GO:0006974,0.0008687614753856407
2932,0.0008590915218510218
4067,0.000856478780354589
1432,0.0008269463117508177
440275,0.0008022139697234698
5580,0.0007993948903140944
2534,0.0007980184948153257
9212,0.0007937721812885055
5347,0.0007894270607469073
23043,0.0007825571317931517
5747,0.0007749261161931958
5562,0.0007733366635630824
2185,0.0007701037434560113
2475,0.0007671268718814708
983,0.0007639104735052896
11200,0.0007635406056063215
5170,0.0007600312821684194
5587,0.0007561822851551547
5566,0.0007543603871642566
GO:0050821,0.0007542856611716205
659,0.0007528983090809049
90,0.0007494523707061235
5565,0.0007487111856315882
1445,0.0007471749621330361
8536,0.0007458867873869674
8737,0.0007456653047113911
7010,0.0007422401340460399
3643,0.0007404066841481271
27102,0.0007373774827733419
3551,0.0007369719217880412
4915,0.0007334529641959156
5585,0.0007309393196212466
2931,0.000730329100724261
2011,0.0007282398405002148
1459,0.0007277306454932149
2066,0.0007275773099231844
3791,0.0007272107595700946
3717,0.0007271852684243927
3815,0.0007256009418831578
6790,0.0007252769245393613
5058,0.0007221347690135201
5062,0.0007201211754191245
9475,0.000719782471113738
2043,0.0007196367249899672
4751,0.000719333595274385
1612,0.0007167166060435654
1969,0.0007149487409975118
57118,0.0007136755082893391
27347,0.0007132245370628334
5159,0.0007127276394280756
9113,0.0007103982141210002
GO:0051091,0.0007090464248427422
1111,0.000708514066677209
55781,0.0007038490603876366
5156,0.000703097604395846
817,0.0007029480867388002
6195,0.0007023138173586686
7048,0.0007010174278095312
6850,0.000700472790703174
3654,0.0007000237176855042
3055,0.0006989073923836497
2260,0.0006984425094793396
8428,0.0006981809806169748
4215,0.0006963260029457428
3932,0.0006961888300464502
1263,0.0006951003267380538
10188,0.0006946604312750127
1019,0.0006944420519763152
5584,0.0006939009823203528
1457,0.0006923826820220624
5601,0.0006918124121310742
5581,0.0006890544875057344
4296,0.0006883907419888984
9891,0.0006876400958048033
3718,0.0006819400690481375
3191,0.0006809460829558676
23604,0.0006802740597541685
GO:1903955,0.0006785464960913576
3716,0.0006781106145231883
2242,0.0006774318647952851
7535,0.0006768536818150874
2580,0.0006737911976533653
5582,0.0006734318465649124
7006,0.0006733596362408794
5564,0.0006732419195470354
780,0.0006725872355530507
5606,0.0006722881865932148
23332,0.0006721055803771613
91,0.0006713717421167244
79858,0.000670865848176138
5292,0.0006695041373970184
2261,0.0006694439233188734
5894,0.000668781923918307
2321,0.0006687589417840749
8408,0.000668125472448983
3645,0.0006680076560882591
1613,0.0006673816554414097
51765,0.0006659864107079102
10645,0.0006657180008937919
5610,0.0006654579585188342
238,0.0006653193577243235
2042,0.0006652040551707967
658,0.0006649417744388099
GO:0043123,0.0006644290938088482
1452,0.0006641864000057328
5567,0.0006641331841191802
4638,0.000663309055066465
695,0.0006630128580347873
11329,0.0006626459116616252
11011,0.0006622710960349736
5598,0.0006619860471121862
11184,0.0006599089656296479
54101,0.0006597340630118832
85366,0.0006595899265621542
9641,0.0006594012849658219
5588,0.0006591911085143259
29110,0.0006589560331012962
1436,0.0006583898941257389
GO:0016567,0.0006581974254198583
5603,0.0006581239357421342
2263,0.0006577698554772386
2241,0.0006572180918850582
4058,0.0006571482751641151
2041,0.0006567829793083454
5563,0.0006567733301160473
818,0.0006554810962102429
28996,0.0006542182337956661
4216,0.0006514587802853214
2166,0.0006510042583758745
815,0.0006507881972257605
5871,0.000650775288036928
8780,0.0006497266782459073
5294,0.0006493301206510378
10733,0.0006490544708987607
4916,0.0006489863160272642
7525,0.0006484430096757033
4233,0.0006482348613591592
4214,0.0006480583251896038
2324,0.00064751625214466
8550,0.0006469693017762322
673,0.0006466712587614817
2047,0.0006464867686042974
27,0.000646368814520526
4140,0.0006460361004510481
150094,0.0006456078120833354
5605,0.0006455982549270074
83732,0.0006451948514121204
5586,0.0006448251514543262
3984,0.0006445315014058025
51347,0.0006444436694802966
2030,0.0006437748717919191
GO:0008283,0.0006431389476068582
4921,0.0006417165820805982
1859,0.0006412715929571938
2045,0.0006405769869368107
9874,0.0006394509517002277
5293,0.0006393617648073442
5979,0.0006377397879667527
50488,0.0006376905856411659
9344,0.0006372190487034979
2268,0.0006368358395239689
GO:0006915,0.0006367486246434863
558,0.0006363713394620441
11213,0.0006363545582263553
9149,0.0006362780501490306
9175,0.0006355884814894183
9448,0.0006349989521027625
8767,0.000634112961900054
4139,0.0006326348244040519
2872,0.0006318782496009008
4294,0.0006318646870457667
10114,0.0006312065682511617
51422,0.0006311181636908232
6788,0.000631024329892981
5753,0.0006307836251987501
5602,0.0006304436624041268
22848,0.000630421288543697
1195,0.000630359778137267
6787,0.0006295646335232557
8573,0.0006292900906790883
51135,0.0006291298972605987
23235,0.000628101217307582
1196,0.0006280317925343507
7294,0.0006271436204244627
5127,0.0006271251877945351
91807,0.0006267149543599702
9262,0.0006261768961715508
11183,0.0006261352700644788
10769,0.0006260294823532058
8576,0.0006250143518400188
25989,0.0006249500328152738
9263,0.000624389812874473
9943,0.0006243131016025507
5571,0.0006239456880254269
2050,0.0006238067267586761
1198,0.0006231965534365185
8569,0.000622948017241669
8491,0.0006227507646877567
GO:0006355,0.0006205486931292198
65061,0.0006199267171210553
56997,0.0006192547785008317
7706,0.0006190953359379324
81788,0.0006187028881730224
660,0.0006186346097046991
1520,0.0006186131987941441
8654,0.0006183675450630243
225689,0.00061770115634343
51086,0.000617649185210821
GO:0046330,0.0006173758726470713
1448,0.0006170326351377783
5608,0.0006166756489062327
1514,0.0006164090790738264
7016,0.0006154836102329428
9706,0.0006136291673351617
10461,0.0006135893816427072
79837,0.0006123644979091981
54658,0.0006123395289192899
23012,0.000611005594271649
9833,0.0006103108453677738
8396,0.0006089215288523335
57551,0.0006084299930805906
9064,0.0006081241575290967
9748,0.0006073816736745027
10298,0.0006069752012658223
6793,0.0006063761046035351
6725,0.0006060999933306797
GO:0051259,0.0006050899385647214
GO:0030335,0.0006044070851488584
6197,0.00060433363286196
5607,0.0006043092117839002
4293,0.0006042664706986906
4593,0.0006038307131005826
22858,0.0006037328908224653
240,0.0006035953495574953
6795,0.0006033628319068523
3702,0.0006028861075559657
57787,0.0006018655597658111
27148,0.0006015547205547329
7301,0.0006014473972761473
816,0.0006007176987722459
7786,0.0005997044442570651
2322,0.0005996427615712996
6098,0.0005996238978317206
54861,0.0005984347849091006
23387,0.0005982782735243094
5593,0.0005977377104427366
640,0.0005962676151204918
415116,0.0005958178855467863
83942,0.0005951164727250433
10746,0.0005949641434654639
27330,0.0005946615176486344
202374,0.0005934993265225198
2044,0.000593292060982563
7297,0.0005932026764370028
140901,0.0005931884993338438
2048,0.0005922113154788983
4486,0.0005919765593672234
57396,0.0005917080026116459
2046,0.0005911825078127718
84254,0.0005911330013341279
7075,0.0005911110713943613
55561,0.0005909207758233755
5596,0.0005904042502738008
2051,0.0005896802481456175
56924,0.0005896770858852108
8711,0.0005895595588389843
5063,0.0005892279433533945
8814,0.0005890561453630939
3985,0.0005890126959073675
167359,0.0005887405061425467
GO:0008285,0.0005885964951810088
53904,0.0005880312503852415
7272,0.00058784555538048
8899,0.0005877597044597343
5287,0.0005871239868859573
11113,0.0005870818469894949
9201,0.0005867189831688169
57172,0.0005865807756263796
GO:0006357,0.0005855481600335443
