nodes,glutinAML_diff
2902,1.8520487150652193e-05
2898,1.5861780977044373e-05
2806,1.4528401581395162e-05
6505,1.798419076403731e-05
2891,5.370745822343432e-06
79751,6.2728075909026145e-06
2805,3.333192781296571e-05
2903,7.231259944416038e-06
124454,6.9301458992617955e-06
6507,1.886302855645214e-05
2747,8.207045078224019e-06
2746,1.1036150994650045e-05
6506,9.175101752254474e-06
GO:0097553,1.7828461349172928e-05
2744,6.6598875215331e-06
GO:0045471,4.314816018051963e-05
2895,6.554109677997942e-06
6898,4.3866113907600396e-05
2356,1.1031562398061196e-05
2917,7.3800885533604135e-06
