drug,frequncy in AML
DB00142,0.2199904958431032
DB00114,0.0041278533619380385
DB00157,0.0016519090097581856
DB00273,0.0015859937694755102
DB00780,0.0011309264507851132
DB12010,0.0010750009366265571
DB00128,0.0010430867478025828
DB00151,0.0007416832793980295
DB00167,0.000674465393530282
DB00898,0.0004673653027537859
DB01593,0.0004417411014271769
DB00606,0.00040883572218931044
DB08883,0.00040745557329080576
DB00312,0.00034584139653797243
DB00418,0.0003454859488908103
DB01174,0.00034525914463629014
DB12153,0.00028721680809593183
DB00161,0.00028156118700525633
DB00996,0.000278677751223147
DB01708,0.0002757787664249368
DB00659,0.0002756743290921494
DB00293,0.00027275013876325413
DB00289,0.00026872936763978916
DB04896,0.0002686231653482059
DB00949,0.0002684096737507527
DB09481,0.0002684096737507527
DB00145,0.0002663426228992291
DB06151,0.00026349309628238057
DB00130,0.00025061587445230027
DB08835,0.00024915941303558673
DB00120,0.00020037767487497606
DB00126,0.00019104155418725075
DB00794,0.00018867279242123356
DB00241,0.00018817323987152998
DB00599,0.00018815001457674996
DB11081,0.00018701216872907598
DB00174,0.00017510762098091434
DB01173,0.0001705157956254955
DB00454,0.00016604181049330788
DB00915,0.00015375868797573656
DB00313,0.00015158329205973192
DB00463,0.00014223945768249198
DB01483,0.00014192742125723642
DB00119,0.00013998087906146798
DB00675,0.00013530199004064427
DB01356,0.0001343204396722575
DB01043,0.000126133607307065
DB01080,0.00011975259780117347
DB00143,0.00011730092572340149
DB00228,0.00011711777704201664
DB09289,0.0001088999299724586
DB00163,0.00010435182415755132
DB00795,0.00010121015371285558
DB00170,9.849506411459379e-05
DB00740,9.133425864632692e-05
DB00138,9.056300320561216e-05
DB01136,8.934027361313074e-05
DB06616,8.912298578095715e-05
DB00055,8.729386131672322e-05
DB00036,8.70933536354063e-05
DB00100,8.644013795162211e-05
DB13152,8.644013795162211e-05
DB09332,8.595196109165884e-05
DB01022,8.22723526089585e-05
DB02709,7.922786174789085e-05
DB01125,7.780135400523253e-05
DB00306,7.738831156531314e-05
DB00237,7.738831156531314e-05
DB00849,7.711968636196426e-05
DB01351,7.707627514005758e-05
DB01352,7.707627514005758e-05
DB01353,7.707627514005758e-05
DB00173,6.869288707950343e-05
DB05294,6.620625189545298e-05
DB01394,6.101723102876071e-05
DB01254,6.034277717591631e-05
DB04272,5.9607709836444635e-05
DB00945,5.9266804234179955e-05
DB01169,5.6929818681523855e-05
DB01592,5.6819230816953495e-05
DB00361,5.5144339072266405e-05
DB00201,5.336496669367769e-05
DB00594,5.330147601178742e-05
DB00783,5.1392459783364267e-05
DB04845,5.0830130386117294e-05
DB13954,5.0391552115270026e-05
DB00188,4.750369139161254e-05
DB00893,4.7148101206365435e-05
DB00139,4.6747132337029306e-05
DB00162,4.6642178047548207e-05
DB00514,4.609901994118214e-05
DB08896,4.449476201201229e-05
DB00255,4.3697246962427e-05
DB01110,4.147592889558979e-05
DB00630,4.129397297963713e-05
DB00025,3.855321026664897e-05
DB13999,3.855321026664897e-05
DB04865,3.758833665997845e-05
DB01956,3.753524750362374e-05
DB00031,3.61015444443635e-05
budipine,3.5573279655853874e-05
cycloserine-(d),3.5573279655853874e-05
DB00852,3.498666967171871e-05
DB03904,3.404052587849605e-05
DB00755,3.327952752021536e-05
DB00619,3.2441535468973927e-05
DB09301,3.221793540303436e-05
DB09221,3.145630487740611e-05
DB00502,3.073411919967723e-05
DB00321,2.9849865379312455e-05
DB08889,2.8692987304083712e-05
DB00070,2.8665093094075137e-05
DB00348,2.8084773882791838e-05
DB01278,2.774074577045851e-05
DB00482,2.7103529019933004e-05
DB00193,2.573755315451221e-05
DB02659,2.536761289821996e-05
DB00005,2.5258396621121204e-05
DB00811,2.508747101940937e-05
DB06637,2.4743115229148736e-05
DB00746,2.461187857664076e-05
DB06782,2.461187857664076e-05
DB00072,2.4384527479771432e-05
DB00392,2.4146072272621175e-05
DB00118,2.4034121667564892e-05
DB09462,2.3909025198581626e-05
arsenic-trioxide,2.345617846772653e-05
DB01064,2.297789539572833e-05
DB00720,2.265923355583044e-05
bucladesine,2.213413063770235e-05
DB00131,2.1434261389237168e-05
DB00570,2.138166369759724e-05
DB00281,2.058480926345999e-05
DB09118,2.038872238160722e-05
DB01229,2.0265899483706387e-05
DB00148,2.0209311257189838e-05
DB00674,2.0178715311864004e-05
DB08901,2.0129959185632854e-05
DB00002,2.0026448983696905e-05
L-Citrulline,1.9914201485104865e-05
DB00155,1.9914201485104865e-05
DB00530,1.949438637753852e-05
DB00317,1.945097515563184e-05
DB09559,1.945097515563184e-05
DB00165,1.9304564753380237e-05
DB00242,1.926038311826993e-05
DB08818,1.925051995604361e-05
DB01248,1.888799517856626e-05
DB06603,1.855220317708482e-05
DB05015,1.855220317708482e-05
DB04465,1.8480781646358047e-05
DB06774,1.8376908433342153e-05
DB00752,1.8079804024627117e-05
DB03017,1.7781925159797063e-05
DB01078,1.7723930655772434e-05
DB06176,1.7496326265845226e-05
DB00121,1.749309217568006e-05
DB01017,1.72592138524404e-05
DB00071,1.7036411574529758e-05
DB00129,1.6981458556362582e-05
DB00583,1.6887876719969405e-05
DB01109,1.687853020001634e-05
