drug,visitation_freq_of_AML
podophyllotoxin,0.0029031831127784772
lasofoxifene,0.0023207584787101783
vinblastine,0.0021063197944846818
docetaxel,0.0020600003087816758
paclitaxel,0.0018400487383100094
sunitinib,0.0016211112204296575
niclosamide,0.001425712510859475
tenecteplase,0.0013211567765072977
L-glutamic acid,0.0012536450960489408
imatinib,0.0012048357857752452
ixabepilone,0.0011228354895298337
vinorelbine,0.0010614653206164268
colchicine,0.0010210736140456513
pazopanib,0.0009045566448521088
sorafenib,0.0008182529579709132
ponatinib,0.000666602406058952
isoprenaline,0.000581491634767292
citric acid,0.0005402107110398322
calcitriol,0.00046130985515168007
zinc,0.00036870371331334205
acitretin,0.0003544511009444701
fostamatinib,0.0003132134139001645
progesterone,0.00029783614259632076
hyaluronidase (ovine),0.0002896035175060024
sargramostim,0.0002889546898681727
romidepsin,0.0002821238009349946
regorafenib,0.0002818011108326105
belinostat,0.0002802372684349275
panobinostat,0.00028023726843492746
danazol,0.00026600854231538745
moroctocog alfa,0.0002627301254391708
"antihemophilic factor, human recombinant",0.0002627301254391708
tretinoin,0.0002573461996607415
gestrinone,0.00025479117141002754
dasatinib,0.00025247495484174737
pseudoephedrine,0.0002516226190809841
vitamin C,0.000244280197823285
estramustine,0.00024267444337804046
arsenic trioxide,0.00024074594290653546
norgestimate,0.00023733919197040007
bazedoxifene,0.00023411226330387883
estropipate,0.00023411226330387883
ospemifene,0.00023411226330387883
fulvestrant,0.00023411226330387883
tamoxifen,0.00023078294472109377
dienogest,0.00022968130915803476
ulipristal,0.0002209918892716131
triclosan,0.00021788091418951382
aspirin,0.0002154890139908415
diethylstilbestrol,0.00021505173902414167
mifepristone,0.00021347091192420444
noretynodrel,0.00021196373990914257
bosutinib,0.00021180071462059577
bortezomib,0.0002115519856493519
medroxyprogesterone acetate,0.00020999806265926363
desogestrel,0.00020999806265926363
ethynodiol-diacetate,0.00020999806265926363
vandetanib,0.00020385940103471734
succinic acid,0.00019881424074791445
resveratrol,0.0001975928538665396
bezafibrate,0.000194307601138483
allylestrenol,0.0001907128818739032
rosiglitazone,0.0001864816323410656
mometasone,0.00018543531252995557
megestrol-acetate,0.00018543531252995557
necitumumab,0.00018416936996763786
gefitinib,0.00018416936996763786
norethindrone,0.00016678379782942033
chlormadinone-acetate,0.00016678379782942033
dydrogesterone,0.00016678379782942033
retinol,0.0001563380525204015
