drug,visitation_freq
fostamatinib,0.0018634995105531482
zinc,0.0008000071629013131
L-glutamic acid,0.0006080107990023996
tenecteplase,0.00031516407642539785
lasofoxifene,0.0001942667488805765
acitretin,0.00014354674446212813
sunitinib,0.00014113346636793504
niclosamide,0.00013925806100771127
dasatinib,0.00012046650657495685
imatinib,0.00011135695424135698
resveratrol,0.0001090195629960484
ponatinib,0.00010326346636503278
bosutinib,9.938982185924182e-05
pazopanib,9.72552798796233e-05
aspirin,8.825419430207057e-05
vitamin C,8.610771474299346e-05
sorafenib,8.570597673166342e-05
arsenic trioxide,8.520603732889221e-05
tamoxifen,8.35055898154411e-05
colchicine,8.229283694935743e-05
paclitaxel,7.952371895102533e-05
vinorelbine,7.864713190579412e-05
docetaxel,7.767908485564744e-05
citric acid,7.716029073555645e-05
bortezomib,7.552047127870017e-05
ixabepilone,7.27989621405753e-05
regorafenib,7.046236404338804e-05
vinblastine,7.002662258327722e-05
pseudoephedrine,6.620425436692788e-05
isoprenaline,6.524080220737557e-05
vandetanib,6.354319486281367e-05
sargramostim,6.15804850943251e-05
podophyllotoxin,5.340949657071085e-05
hyaluronidase (ovine),4.838452489484414e-05
retinol,4.700770455006017e-05
succinic acid,4.021795419383543e-05
tretinoin,3.7256945101977273e-05
belinostat,3.193475932732239e-05
panobinostat,3.193475932732239e-05
romidepsin,2.9716110166044708e-05
moroctocog alfa,2.8651812832685637e-05
"antihemophilic factor, human recombinant",2.8651812832685637e-05
diethylstilbestrol,1.629499277195903e-05
progesterone,1.6102266776881855e-05
estramustine,1.2361070616045696e-05
bazedoxifene,7.017256965315764e-06
estropipate,7.017256965315764e-06
ospemifene,7.017256965315764e-06
fulvestrant,7.017256965315764e-06
necitumumab,6.66369893947017e-06
gefitinib,6.66369893947017e-06
danazol,5.661531767602112e-06
calcitriol,5.141222898397081e-06
rosiglitazone,4.669708793455773e-06
mifepristone,4.1100295292529515e-06
bezafibrate,4.012207466527589e-06
gestrinone,3.680067206619602e-06
noretynodrel,3.263566960264982e-06
norgestimate,2.9960354798530793e-06
allylestrenol,2.5766289695956526e-06
medroxyprogesterone acetate,2.4138425884740407e-06
desogestrel,2.4138425884740407e-06
ethynodiol-diacetate,2.4138425884740407e-06
triclosan,1.830247060743278e-06
ulipristal,9.483970118710407e-07
dienogest,6.979310250791761e-07
mometasone,3.6620412049200163e-07
megestrol-acetate,3.6620412049200163e-07
norethindrone,1.1573813370013707e-07
chlormadinone-acetate,1.1573813370013707e-07
dydrogesterone,1.1573813370013707e-07
